Member_number,Date,itemDescription
2300,19-09-2015,pip fruit
2193,14-04-2015,beef
4546,03-09-2015,chicken
1905,07-07-2015,other vegetables
2867,12-11-2015,whole milk
1420,14-01-2015,other vegetables
4286,08-03-2015,brown bread
3841,19-07-2015,berries
4272,06-06-2015,coffee
1697,21-05-2015,misc. beverages
1061,05-09-2015,whole milk
3023,28-07-2015,rolls/buns
3552,16-06-2015,rolls/buns
4177,13-04-2015,frankfurter
2270,01-07-2015,sausage
2436,12-04-2015,frankfurter
3860,05-05-2015,whole milk
1587,01-07-2015,other vegetables
4851,20-12-2015,sausage
4389,20-10-2015,detergent
2560,17-05-2015,sausage
2932,20-03-2015,sausage
1711,18-06-2015,frankfurter
4291,08-12-2015,sausage
3058,18-05-2015,hamburger meat
1306,23-06-2015,whole milk
1971,18-09-2015,sausage
2489,04-05-2015,whole milk
3564,27-06-2015,newspapers
4092,30-09-2015,berries
2295,25-02-2015,rolls/buns
4760,22-02-2015,canned beer
3649,16-01-2015,canned beer
3987,19-08-2015,other vegetables
2614,25-06-2015,whole milk
4559,16-03-2015,whole milk
2219,17-04-2015,other vegetables
3296,17-08-2015,soda
2001,21-08-2015,rolls/buns
3427,28-04-2015,curd
3390,14-11-2015,soda
3375,26-04-2015,frankfurter
2270,11-08-2015,whole milk
1482,22-11-2015,beverages
2443,15-11-2015,sausage
1674,04-12-2015,sausage
4262,16-10-2015,meat
2082,07-04-2015,frankfurter
2267,03-07-2015,meat
2914,30-11-2015,meat
3206,13-10-2015,frankfurter
1226,13-04-2015,hard cheese
1181,16-11-2015,sausage
4667,12-01-2015,root vegetables
3449,08-03-2015,sausage
1058,10-11-2015,root vegetables
1547,18-04-2015,pickled vegetables
2703,08-05-2015,canned beer
2212,27-08-2015,hamburger meat
3967,30-05-2015,pasta
2996,26-09-2015,frankfurter
2447,28-12-2015,onions
4243,02-04-2015,sausage
1834,17-09-2015,frankfurter
3236,04-07-2015,berries
1765,11-03-2015,margarine
2600,28-01-2015,yogurt
2946,07-10-2015,soda
2055,04-02-2015,newspapers
1054,04-10-2015,frankfurter
2996,19-05-2015,berries
4928,18-08-2015,beef
4217,18-12-2015,frozen vegetables
4408,13-03-2015,whole milk
1518,11-12-2015,frankfurter
2270,30-09-2015,berries
2838,10-11-2015,rolls/buns
3897,23-08-2015,other vegetables
3967,23-11-2015,whole milk
3143,24-05-2015,coffee
2816,22-08-2015,onions
2331,15-02-2015,sausage
4212,01-05-2015,other vegetables
2622,01-10-2015,other vegetables
3445,30-04-2015,soda
2272,16-05-2015,rolls/buns
4486,02-12-2015,frankfurter
4169,24-11-2015,whole milk
4095,01-11-2015,other vegetables
3897,31-05-2015,hamburger meat
1199,09-11-2015,beverages
4748,07-05-2015,rolls/buns
3571,11-12-2015,pet care
4748,15-12-2015,soda
2769,21-07-2015,sparkling wine
1155,10-08-2015,whole milk
1711,06-06-2015,soda
1590,15-08-2015,coffee
1476,26-08-2015,yogurt
4273,14-06-2015,other vegetables
2504,14-08-2015,curd
4511,29-06-2015,beef
1807,18-05-2015,hamburger meat
2067,12-08-2015,root vegetables
3718,20-05-2015,hamburger meat
3486,08-11-2015,canned beer
3872,19-03-2015,frankfurter
2777,07-04-2015,whole milk
1564,23-10-2015,sausage
1833,13-04-2015,whipped/sour cream
1757,23-12-2015,root vegetables
3772,09-03-2015,whole milk
4382,13-11-2015,beef
3735,28-11-2015,soda
4959,30-06-2015,other vegetables
4864,14-11-2015,pip fruit
2042,19-11-2015,meat
2170,18-06-2015,canned beer
2941,03-10-2015,hamburger meat
3102,04-12-2015,meat
1444,16-12-2015,rolls/buns
4954,04-05-2015,whole milk
2207,08-04-2015,frankfurter
2319,10-05-2015,whole milk
3018,27-06-2015,rolls/buns
1195,28-09-2015,whole milk
3017,28-09-2015,curd
3027,15-09-2015,sausage
4762,30-10-2015,rolls/buns
3292,13-09-2015,beef
1072,23-10-2015,frankfurter
4814,13-09-2015,whole milk
4670,11-10-2015,sausage
4566,27-07-2015,frankfurter
1827,01-05-2015,meat
3896,10-09-2015,sausage
3842,01-07-2015,beef
3797,10-08-2015,other vegetables
4109,08-02-2015,berries
2068,07-06-2015,frankfurter
3178,21-10-2015,frankfurter
1688,10-11-2015,finished products
1839,03-09-2015,meat
4440,21-09-2015,rolls/buns
1335,16-01-2015,frankfurter
4640,25-09-2015,root vegetables
3306,22-09-2015,frankfurter
2193,08-04-2015,root vegetables
4527,18-10-2015,soda
3601,01-04-2015,whole milk
1158,21-03-2015,yogurt
4323,13-05-2015,whole milk
2087,22-02-2015,other vegetables
1853,31-05-2015,beef
3173,25-07-2015,whipped/sour cream
2191,19-10-2015,beef
4212,07-04-2015,chicken
4632,30-09-2015,frankfurter
3987,18-06-2015,sausage
1672,07-10-2015,whole milk
2496,29-06-2015,chicken
2867,23-12-2015,chicken
3076,08-12-2015,rolls/buns
4509,28-09-2015,sliced cheese
3838,14-12-2015,curd
3387,10-05-2015,soda
2678,21-09-2015,berries
1773,17-10-2015,frankfurter
3100,23-05-2015,frankfurter
3673,12-08-2015,frankfurter
1617,10-02-2015,rolls/buns
4440,01-12-2015,sparkling wine
4945,02-08-2015,other vegetables
